Temperature (K),Luminosity (L/Lo),Radius (R/Ro),Absolute magnitude (Mv),Star type,Star color,Spectral Class
3625,184000.0,84.0,-6.74,4,0,6
33750,220000.0,26.0,-6.1,4,6,1
3490,270000.0,1520.0,-9.4,5,0,6
3750,283000.0,1260.0,-7.63,5,0,6
3834,272000.0,1183.0,-9.2,5,0,6
3749,550000.0,1648.0,-8.05,5,10,6
3650,310000.0,1324.0,-7.79,5,0,6
3450,263000.0,1349.0,-11.75,5,0,6
3660,363000.0,1673.0,-11.92,5,0,6
3450,174000.0,1284.0,-11.28,5,0,6
3752,209000.0,955.0,-11.24,5,0,6
3535,195000.0,1546.0,-11.36,5,0,6
3341,0.0056,0.057,16.23,0,0,6
3432,0.00067,0.19,16.94,0,0,6
2983,0.00024,0.094,16.09,0,0,6
2835,0.00034,0.0918,16.96,0,0,6
2935,0.00014,0.116,18.89,0,0,6
3295,0.00098,0.132,17.13,0,0,6
2945,0.00032,0.093,18.34,0,0,6
2817,0.00098,0.0911,16.45,0,0,6
2774,0.00036,0.118,17.39,0,0,6
2871,0.00072,0.12,19.43,0,0,6
3345,0.021,0.273,12.3,1,0,6
3607,0.022,0.38,10.12,1,0,6
3304,0.0085,0.18,13.2,1,0,6
3150,0.0088,0.35,11.94,1,0,6
3550,0.004,0.291,10.89,1,0,6
3180,0.001,0.35,11.76,1,0,6
2890,0.0034,0.24,13.46,1,0,6
3342,0.0015,0.307,11.87,1,0,6
2621,0.0006,0.098,12.81,1,0,6
3158,0.00135,0.161,13.98,1,0,6
7100,0.00029,0.012,14.09,2,11,3
10574,0.00014,0.0092,12.02,2,2,3
8930,0.00056,0.0095,13.78,2,12,2
17200,0.00098,0.015,12.45,2,1,1
14100,0.00067,0.0089,12.17,2,1,1
9675,0.00045,0.0109,13.98,2,1,2
12010,0.00078,0.0092,12.13,2,1,1
10980,0.00074,0.0087,11.19,2,1,1
13720,0.00018,0.00892,12.97,2,12,3
19860,0.0011,0.0131,11.34,2,13,1
5300,0.59,0.91,5.49,3,9,3
4526,0.153,0.865,6.506,3,14,5
4077,0.085,0.795,6.228,3,14,5
4980,0.357,1.13,4.78,3,15,5
9030,45.0,2.63,1.45,3,7,2
11250,672.0,6.98,-2.3,3,7,2
5112,0.63,0.876,4.68,3,16,5
7720,7.92,1.34,2.44,3,9,3
12098,689.0,7.01,0.02,3,7,2
36108,198000.0,10.2,-4.4,3,6,0
33300,240000.0,12.0,-6.5,4,6,1
40000,813000.0,14.0,-6.23,4,6,0
23000,127000.0,36.0,-5.76,4,6,0
17120,235000.0,83.0,-6.89,4,6,0
11096,112000.0,12.0,-5.91,4,6,0
14245,231000.0,42.0,-6.12,4,6,0
24630,363000.0,63.0,-5.83,4,6,0
12893,184000.0,36.0,-6.34,4,6,0
24345,142000.0,57.0,-6.24,4,6,0
33421,352000.0,67.0,-5.79,4,6,0
3459,100000.0,1289.0,-10.7,5,0,6
3605,126000.0,1124.0,-10.81,5,0,6
3615,200000.0,1635.0,-11.33,5,0,6
3399,117000.0,1486.0,-10.92,5,0,6
3610,132000.0,1522.0,-10.86,5,0,6
3553,145000.0,1324.0,-11.03,5,0,6
4015,282000.0,1534.0,-11.39,5,0,5
3625,74000.0,876.0,-10.25,5,0,6
6850,229000.0,1467.0,-10.07,5,0,4
3780,200000.0,1324.0,-10.7,5,0,6
3323,0.00043,0.0912,17.16,0,0,6
3531,0.00093,0.0976,19.94,0,0,6
3218,0.00054,0.11,20.02,0,0,6
3146,0.00015,0.0932,16.92,0,0,6
3511,0.00064,0.109,17.12,0,0,6
3225,0.00076,0.121,19.63,0,0,6
2935,0.00087,0.0932,16.88,0,0,6
2861,0.00019,0.0899,16.71,0,0,6
2856,0.000896,0.0782,19.56,0,0,6
2731,0.000437,0.0856,18.09,0,0,6
3095,0.00019,0.492,10.87,1,0,6
3607,0.00023,0.38,10.34,1,0,6
3100,0.008,0.31,11.17,1,0,6
2989,0.0087,0.34,13.12,1,0,6
3542,0.0009,0.62,14.23,1,0,6
3243,0.0023,0.73,14.75,1,0,6
3091,0.0081,0.24,11.43,1,0,6
3598,0.0011,0.56,14.26,1,0,6
3324,0.0034,0.34,12.23,1,0,6
3541,0.0013,0.256,14.33,1,0,6
13420,0.00059,0.00981,13.67,2,1,1
21020,0.0015,0.0112,11.52,2,6,1
18290,0.0013,0.00934,12.78,2,6,1
14520,0.00082,0.00972,11.92,2,1,1
11900,0.00067,0.00898,11.38,2,17,1
8924,0.00028,0.00879,14.87,2,4,2
12912,0.00071,0.00945,12.83,2,4,1
14732,0.00011,0.00892,12.89,2,12,3
7723,0.00014,0.00878,14.81,2,2,2
12984,0.00088,0.00996,11.23,2,1,1
29560,188000.0,6.02,-4.01,3,7,1
8945,38.0,2.487,0.12,3,18,2
14060,1092.0,5.745,-2.04,3,7,2
16390,1278.0,5.68,-3.32,3,7,1
25070,14500.0,5.92,-3.98,3,7,1
28700,16790.0,6.4,-4.09,3,7,1
26140,14520.0,5.49,-3.8,3,7,1
20120,4720.0,6.78,-3.4,3,7,1
13023,998.0,6.21,-1.38,3,7,2
37800,202900.0,6.86,-4.56,3,6,0
25390,223000.0,57.0,-5.92,4,6,0
11567,251000.0,36.0,-6.245,4,6,0
12675,452000.0,83.0,-5.62,4,6,0
5752,245000.0,97.0,-6.63,4,6,0
8927,239000.0,35.0,-7.34,4,6,0
7282,131000.0,24.0,-7.22,4,6,0
19923,152000.0,73.0,-5.69,4,6,0
26373,198000.0,39.0,-5.83,4,6,0
17383,342900.0,30.0,-6.09,4,6,0
9373,424520.0,24.0,-5.99,4,6,0
3570,320000.0,1480.0,-7.58,5,0,6
3500,138000.0,1420.0,-8.18,5,0,6
4287,630000.0,1315.0,-9.2,5,10,5
26000,316000.0,1679.0,-9.1,5,6,1
3600,240000.0,1190.0,-7.89,5,0,6
3614,145000.0,1553.0,-7.71,5,0,6
18000,200000.0,1045.0,-8.3,5,6,0
11000,170000.0,1779.0,-9.9,5,7,1
12100,120000.0,708.9,-7.84,5,7,1
24490,248490.0,1134.5,-8.24,5,7,1
2831,0.000231,0.0915,16.21,0,0,6
2914,0.000631,0.116,18.39,0,0,6
3419,0.000245,0.126,17.56,0,0,6
3218,0.000452,0.0987,17.34,0,0,6
3453,0.000621,0.0773,17.08,0,0,6
2889,0.000352,0.0973,16.93,0,0,6
2968,0.000461,0.119,17.45,0,0,6
3484,0.000551,0.0998,16.67,0,0,6
2778,0.000849,0.112,19.45,0,0,6
3523,0.000957,0.129,16.35,0,0,6
3462,0.0053,0.148,11.47,1,0,6
3257,0.0024,0.46,10.73,1,0,6
2994,0.0072,0.28,13.45,1,0,6
3212,0.0016,0.378,12.854,1,0,6
3523,0.0054,0.319,12.43,1,0,6
3598,0.0027,0.67,13.667,1,0,6
3142,0.00132,0.258,14.12,1,0,6
3496,0.00125,0.336,14.94,1,0,6
3324,0.0065,0.471,12.78,1,0,6
3463,0.0027,0.675,14.776,1,0,6
16790,0.0014,0.0121,12.87,2,6,1
15680,0.00122,0.0114,11.92,2,6,1
14982,0.00118,0.0113,12.23,2,6,1
13340,0.00109,0.0116,12.9,2,6,1
18340,0.00134,0.0124,11.22,2,6,1
19920,0.00156,0.0142,11.34,2,6,1
24020,0.00159,0.0127,10.55,2,6,1
23092,0.00132,0.0104,10.18,2,6,1
17920,0.00111,0.0106,11.66,2,6,1
19360,0.00125,0.00998,11.62,2,6,1
22350,12450.0,6.36,-3.67,3,7,1
10012,552.0,5.856,0.013,3,7,2
13089,788.0,5.992,-0.12,3,7,2
22012,6748.0,6.64,-2.55,3,7,1
34190,198200.0,6.39,-4.57,3,6,0
32460,173800.0,6.237,-4.36,3,6,0
9320,29.0,1.91,1.236,3,7,2
19400,10920.0,6.03,-3.08,3,7,1
17140,883.0,5.653,-2.64,3,7,1
8250,9.25,1.93,-0.98,3,9,3
23678,244290.0,35.0,-6.27,4,6,0
12749,332520.0,76.0,-7.02,4,6,0
9383,342940.0,98.0,-6.98,4,6,0
23440,537430.0,81.0,-5.975,4,6,0
16787,246730.0,62.0,-6.35,4,6,0
18734,224780.0,46.0,-7.45,4,6,0
9892,593900.0,80.0,-7.262,4,6,0
10930,783930.0,25.0,-6.224,4,6,0
23095,347820.0,86.0,-5.905,4,6,0
21738,748890.0,92.0,-7.346,4,6,0
24145,382993.0,1494.0,-8.84,5,7,1
38234,272830.0,1356.0,-9.29,5,6,0
32489,648430.0,1948.5,-10.84,5,6,0
27739,849420.0,1252.0,-7.59,5,7,1
21904,748490.0,1130.0,-7.67,5,7,1
38940,374830.0,1356.0,-9.93,5,6,0
30839,834042.0,1194.0,-10.63,5,6,0
8829,537493.0,1423.0,-10.73,5,2,2
9235,404940.0,1112.0,-11.23,5,2,2
37882,294903.0,1783.0,-7.8,5,6,0
